МОСКВА,Москва,http://193.7.160.230/web/osio/meteogram/MOSKWA.png
ВОЛОКОЛАМСК,Волоколамск,http://193.7.160.230/web/osio/meteogram/WOLOKOLAMSK.png
ВОСКРЕСЕНСК,Воскресенск,http://193.7.160.230/web/osio/meteogram/WOSKRESENSK.png
ГОРКИ ЛЕНИНСКИЕ,Горки_Ленинские,http://193.7.160.230/web/osio/meteogram/GORKI_LENINSKIE.png
ДМИТРОВ,Дмитров,http://193.7.160.230/web/osio/meteogram/DMITROW.png
ДОЛГОПРУДНЫЙ,Долгопрудный,http://193.7.160.230/web/osio/meteogram/DOLGOPRUDNYJ.png
МОСКВА (БУТОВО),Москва (Бутово),http://193.7.160.230/web/osio/meteogram/BUTOVO.png
МОСКВА (ВНУКОВО),Москва (Внуково),http://193.7.160.230/web/osio/meteogram/WNUKOWO.png
ДОМОДЕДОВО,Домодедово,http://193.7.160.230/web/osio/meteogram/DOMODEDOWO.png
ЕГОРЬЕВСК,Егорьевск,http://193.7.160.230/web/osio/meteogram/EGORXEWSK.png
ЖЕЛЕЗНОДОРОЖНЫЙ,Железнодорожный,http://193.7.160.230/web/osio/meteogram/GELEZNODOROGNYJ.png
ЗАРАЙСК,Зарайск,http://193.7.160.230/web/osio/meteogram/ZARAYSK.png
КАШИРА,Кашира,http://193.7.160.230/web/osio/meteogram/KASIRA.png
КЛИН,Клин,http://193.7.160.230/web/osio/meteogram/KLIN.png
КОЛОМНА,Коломна,http://193.7.160.230/web/osio/meteogram/KOLOMNA.png
КРАСНОГОРСК,Красногорск,http://193.7.160.230/web/osio/meteogram/KRASNOGORSK.png
ЛЮБЕРЦЫ,Люберцы,http://193.7.160.230/web/osio/meteogram/LUBERCY.png
ВЯЗЬМА,Вязьма,http://193.7.160.230/web/osio/meteogram/VJAZMA.png
ЛУГОВАЯ,Луговая,http://193.7.160.230/web/osio/meteogram/LUGOVAYA.png
ЛУХОВИЦЫ,Луховицы,http://193.7.160.230/web/osio/meteogram/LUHOVICY.png
МЕЛИХОВО,Мелихово,http://193.7.160.230/web/osio/meteogram/MELIHOVO.png
МИХАЙЛОВСКОЕ,Михайловское,http://193.7.160.230/web/osio/meteogram/MIHAJLOVSKOE.png
МИХНЕВО,Михнево,http://193.7.160.230/web/osio/meteogram/MIHNEVO.png
МОЖАЙСК,Можайск,http://193.7.160.230/web/osio/meteogram/MOZAJSK.png
МОСКВА (БАЛЧУГ),Москва (Балчуг),http://193.7.160.230/web/osio/meteogram/MOSKWA_BALCHUG.png
МОСКВА (МГУ),Москва (МГУ),http://193.7.160.230/web/osio/meteogram/MSU(MOSCOW).png
МОСКВА (СТРОГИНО),Москва(Строгино),http://193.7.160.230/web/osio/meteogram/STROGINO(MOSCOW).png
МОСКВА (ТУШИНО),Москва (Тушино),http://193.7.160.230/web/osio/meteogram/TUSHINO.png
НАРО-ФОМИНСК,Наро-Фоминск,http://193.7.160.230/web/osio/meteogram/NARO-FOMINSK.png
НЕМЧИНОВКА,Немчиновка,http://193.7.160.230/web/osio/meteogram/NEMCHINOWKA.png
НОВО-ИЕУРУСАЛИМ,Ново-Иерусалим,http://193.7.160.230/web/osio/meteogram/NOVO-JERUSALIM.png
ПАВЛОВСКИЙ ПОСАД,Павловский Посад,http://193.7.160.230/web/osio/meteogram/PAWLOWSKIJ_POSAD.png
ПОДМОСКОВНАЯ,Подмосковная,http://193.7.160.230/web/osio/meteogram/PODMOSKOWNAQ.png
ПУШКИНО,Пушкино,http://193.7.160.230/web/osio/meteogram/PUSHKINO.png
СЕРГИЕВ ПОСАД,Сергиев Посад,http://193.7.160.230/web/osio/meteogram/SERGIEV_POSAD.png
СЕРЕБРЯНЫЕ ПРУДЫ,Серебряные Пруды,http://193.7.160.230/web/osio/meteogram/SEREBRYNYE_PRUDY.png
СЕРПУХОВ,Серпухов,http://193.7.160.230/web/osio/meteogram/SERPUHOW.png
СОЛНЕЧНОГОРСК,Солнечногорск,http://193.7.160.230/web/osio/meteogram/SOLNECHNOGORSK.png
ТАЛДОМ,Талдом,http://193.7.160.230/web/osio/meteogram/TALDOM.png
ТОЛСТОПАЛЬЦЕВО,Толстопальцево,http://193.7.160.230/web/osio/meteogram/TOLSTOPALCEVO.png
ЧЕРУСТИ,Черусти,http://193.7.160.230/web/osio/meteogram/CHERUSTI.png
ШАХОВСКАЯ,Шаховская,http://193.7.160.230/web/osio/meteogram/SHAHOVSKAYA.png
ШЕРЕМЕТЬЕВО,Шереметьево,http://193.7.160.230/web/osio/meteogram/SHEREMETXEWO.png
ЭЛЕКТРОСТАЛЬ,Электросталь,http://193.7.160.230/web/osio/meteogram/ELECTROSTAL.png
ЭЛЕКТРОУГЛИ,Электроугли,http://193.7.160.230/web/osio/meteogram/ELECTROUGLI.png
БАРАНОВИЧИ,Барановичи,http://193.7.160.230/web/osio/meteogram/BARANOVICHI.png
БЕРЕЗИНСКИЙ ЗАПОВЕДНИК,Березинский Заповедник,http://193.7.160.230/web/osio/meteogram/BEREZINSKI_ZAPOVEDNIK.png
БОБРУЙСК,Бобруйск,http://193.7.160.230/web/osio/meteogram/BOBRUISK.png
БОРИСОВ,Борисов,http://193.7.160.230/web/osio/meteogram/BORISOV.png
БРЕСТ,Брест,http://193.7.160.230/web/osio/meteogram/BREST.png
ВЕРХНЕДВИНСК,Верхнедвинск,http://193.7.160.230/web/osio/meteogram/VERHNEDVINSK.png
ВИТЕБСК,Витебск,http://193.7.160.230/web/osio/meteogram/WITEBSK.png
ВОЛКОВЫСК,Волковыск,http://193.7.160.230/web/osio/meteogram/WOLKOWYSK.png
ВОЛОЖИН,Воложин,http://193.7.160.230/web/osio/meteogram/WOLOVIN.png
ВЫСОКОЕ,Высокое,http://193.7.160.230/web/osio/meteogram/WYSOKOE.png
ГОМЕЛЬ,Гомель,http://193.7.160.230/web/osio/meteogram/GOMEL.png
ГРОДНО,Гродно,http://193.7.160.230/web/osio/meteogram/GRODNO.png
ЖИТКОВИЧИ,Житковичи,http://193.7.160.230/web/osio/meteogram/ZHITCKOVICHI.png
КОСТЮКОВИЧИ,Костюковичи,http://193.7.160.230/web/osio/meteogram/KOSTUCKOVICHI.png
МИНСК,Минск,http://193.7.160.230/web/osio/meteogram/MINSK.png
МОГИЛЕВ,Могилев,http://193.7.160.230/web/osio/meteogram/MOGILEW.png
МСТИСЛАВЛЬ,Мстиславль,http://193.7.160.230/web/osio/meteogram/MSTISLAVL.png
НАРОЧЬ,Нарочь,http://193.7.160.230/web/osio/meteogram/NARO~X.png
НОВОГРУДОК,Новогрудок,http://193.7.160.230/web/osio/meteogram/NOWOGRUDOK.png
ОКТЯБРЬ,Октябрь,http://193.7.160.230/web/osio/meteogram/OKTQBRX.png
ОШМЯНЫ,Ошмяны,http://193.7.160.230/web/osio/meteogram/O%7BMQNY.png
ПИНСК,Пинск,http://193.7.160.230/web/osio/meteogram/PINSK.png
ПОЛЕССКАЯ,Полесская,http://193.7.160.230/web/osio/meteogram/POLESSKAQ.png
АННА,Анна,http://193.7.160.230/web/osio/meteogram/ANNA.png
БЕЛГОРОД,Белгород,http://193.7.160.230/web/osio/meteogram/BELGOROD.png
БОГОРОДИТСКОЕ-ФЕНИНО,Богородитское-Фенино,http://193.7.160.230/web/osio/meteogram/BOGORODITSKOE-FENINO.png
БОГУЧАР,Богучар,http://193.7.160.230/web/osio/meteogram/BOGUCAR.png
БОЛХОВ,Болхов,http://193.7.160.230/web/osio/meteogram/BOLHOW.png
БРЯНСК,Брянск,http://193.7.160.230/web/osio/meteogram/BRJANSK.png
БОРИСОГЛЕБОВСК,Борисоглебовск,http://193.7.160.230/web/osio/meteogram/BORISOGLEBSK.png
ВАЛУЙКИ,Валуйки,http://193.7.160.230/web/osio/meteogram/VALUJKI.png
ВЕРХОВЬЕ,Верховье,http://193.7.160.230/web/osio/meteogram/WERHOWXE.png
ВОРОНЕЖ,Воронеж,http://193.7.160.230/web/osio/meteogram/WORONEZH.png
ГОТНЯ,Готня,http://193.7.160.230/web/osio/meteogram/GOTNJA.png
ДМИТРОВСК-ОРЛОВСКИЙ,Дмитровск-Орловский,http://193.7.160.230/web/osio/meteogram/DMITROWSK-ORLOWSKIJ.png
ЖЕЛЕЗНОГОРСК,Железногорск,http://193.7.160.230/web/osio/meteogram/GELEZNOGORSK.png
ЖЕРДЕВКА,Жердевка,http://193.7.160.230/web/osio/meteogram/ZERDEVKA.png
